[38057:0x7caf40c000]       24 ms: Scavenge 5.3 (6.4) -> 4.8 (7.1) MB, pooled: 0.0 MB, 0.34 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[38057:0x7caf40c000]       30 ms: Scavenge 5.4 (8.1) -> 5.1 (8.1) MB, pooled: 0.0 MB, 0.24 / 0.01 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[38057:0x7caf40c000]       80 ms: Scavenge 7.3 (9.6) -> 6.7 (10.1) MB, pooled: 0.0 MB, 0.65 / 0.01 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[38057:0x7caf40c000]       82 ms: Scavenge 7.5 (10.6) -> 7.4 (12.4) MB, pooled: 0.0 MB, 0.64 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[38057:0x7caf40c000]       88 ms: Incremental Mark-Compact 8.3 (12.9) -> 7.8 (11.4) MB, pooled: 0.5 MB, 1.06 / 0.00 ms (+ 3.1 ms in 121 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 5 ms) (average mu = 0.952, current mu = 0.952) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]       97 ms: Incremental Mark-Compact 10.9 (12.4) -> 5.3 (11.4) MB, pooled: 1.0 MB, 0.61 / 0.01 ms (+ 2.1 ms in 82 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 4 ms) (average mu = 0.927, current mu = 0.696) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      108 ms: Incremental Mark-Compact 8.4 (13.4) -> 5.3 (11.6) MB, pooled: 1.8 MB, 0.74 / 0.01 ms (+ 1.9 ms in 75 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 4 ms) (average mu = 0.896, current mu = 0.763) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      113 ms: Incremental Mark-Compact 7.6 (11.9) -> 5.1 (11.9) MB, pooled: 1.5 MB, 0.47 / 0.00 ms (+ 0.7 ms in 28 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.879, current mu = 0.789) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      119 ms: Incremental Mark-Compact 7.2 (11.9) -> 5.1 (11.9) MB, pooled: 1.5 MB, 0.48 / 0.00 ms (+ 0.6 ms in 35 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.863, current mu = 0.812) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      124 ms: Incremental Mark-Compact 7.2 (11.9) -> 4.2 (11.9) MB, pooled: 1.5 MB, 0.55 / 0.00 ms (+ 0.4 ms in 23 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.850, current mu = 0.822) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      129 ms: Incremental Mark-Compact 6.0 (11.9) -> 4.1 (11.4) MB, pooled: 1.5 MB, 0.61 / 0.00 ms (+ 0.4 ms in 20 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.834, current mu = 0.808) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      134 ms: Incremental Mark-Compact 5.9 (11.4) -> 4.1 (11.4) MB, pooled: 1.5 MB, 0.45 / 0.00 ms (+ 0.4 ms in 17 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.825, current mu = 0.812) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      139 ms: Incremental Mark-Compact 5.9 (11.4) -> 4.1 (11.4) MB, pooled: 1.5 MB, 0.41 / 0.00 ms (+ 0.4 ms in 23 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.828, current mu = 0.833) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      143 ms: Incremental Mark-Compact 6.0 (11.4) -> 4.1 (11.4) MB, pooled: 1.5 MB, 0.41 / 0.00 ms (+ 0.4 ms in 20 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.827, current mu = 0.826) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      147 ms: Mark-Compact 5.0 (11.4) -> 4.1 (11.4) MB, pooled: 1.5 MB, 1.21 / 0.00 ms (average mu = 0.759, current mu = 0.666) background allocation failure; GC in old space requested
[38057:0x7caf40c000]      152 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.40 / 0.00 ms (+ 0.4 ms in 23 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 2 ms) (average mu = 0.798, current mu = 0.834) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      156 ms: Incremental Mark-Compact 6.0 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.00 ms (+ 0.4 ms in 25 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.814, current mu = 0.830) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      161 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.00 ms (+ 0.4 ms in 22 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.818, current mu = 0.822) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      166 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.5 (11.6) MB, pooled: 1.5 MB, 0.59 / 0.00 ms (+ 0.4 ms in 23 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.805, current mu = 0.793) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      170 ms: Incremental Mark-Compact 6.3 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.00 ms (+ 0.4 ms in 23 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.815, current mu = 0.825) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      175 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.00 ms (+ 0.4 ms in 21 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.823, current mu = 0.832) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      180 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.4 ms in 22 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.823, current mu = 0.823) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      184 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.00 ms (+ 0.4 ms in 23 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.821, current mu = 0.818) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      189 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.00 ms (+ 0.4 ms in 15 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.822, current mu = 0.824) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      193 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.38 / 0.00 ms (+ 0.4 ms in 22 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.824, current mu = 0.826) finalize incremental marking via stack guard; GC in old space requested
{"name":"scalar","mediansMs":[0.0709292000000005,0.07325830000000053],"ratio":1.0328369698234297}
[38057:0x7caf40c000]      210 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.01 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.941, current mu = 0.972) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      243 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.40 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.976, current mu = 0.987) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      275 ms: Incremental Mark-Compact 5.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.01 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.987) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      307 ms: Incremental Mark-Compact 5.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.39 / 0.01 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.985, current mu = 0.987) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      338 ms: Incremental Mark-Compact 5.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.2 ms in 14 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.983, current mu = 0.981) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      369 ms: Incremental Mark-Compact 5.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.982) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      401 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.45 / 0.01 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.985) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      430 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.01 ms (+ 0.0 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
